isogroup gene annotation,
TRINITY_DN3075_c0_g1,Heat shock 70 kDa protein cognate 5 OS=Drosophila melanogaster GN=Hsc70-5 PE=1 SV=2 E(blastx)=3e-60
TRINITY_DN39787_c0_g1,Dynactin subunit 1 OS=Gallus gallus GN=DCTN1 PE=1 SV=2 E(blastx)=3e-28
TRINITY_DN6512_c0_g1,Dr1-associated corepressor OS=Mus musculus GN=Drap1 PE=1 SV=3 E(blastx)=4e-27
TRINITY_DN33593_c0_g1,Centrosomal protein of 95 kDa OS=Rattus norvegicus GN=Cep95 PE=2 SV=1 E(blastx)=7e-21
TRINITY_DN33689_c0_g1,PMS1 protein homolog 1 OS=Homo sapiens GN=PMS1 PE=1 SV=1 E(blastx)=2e-31
TRINITY_DN26974_c0_g1,Serine/threonine-protein kinase PAK 2 OS=Homo sapiens GN=PAK2 PE=1 SV=3 E(blastx)=4e-08
TRINITY_DN39164_c0_g1,FK506-binding protein 2 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=fkr-5 PE=1 SV=1 E(blastx)=4e-14
TRINITY_DN36533_c0_g1,ATP-dependent RNA helicase DHX29 OS=Mus musculus GN=Dhx29 PE=1 SV=1 E(blastx)=2e-14
TRINITY_DN22041_c0_g1,"39S ribosomal protein L4, mitochondrial OS=Bos taurus GN=MRPL4 PE=1 SV=1 E(blastx)=9e-05"
TRINITY_DN28101_c0_g1,Scavenger receptor cysteine-rich domain superfamily protein OS=Patiria pectinifera GN=SRCR1 PE=1 SV=1 E(blastx)=7e-05
TRINITY_DN23877_c0_g1,Glutathione S-transferase A OS=Pleuronectes platessa PE=2 SV=1 E(blastx)=2e-05
TRINITY_DN30320_c0_g1,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=5e-38"
TRINITY_DN25054_c0_g1,Nucleosome assembly protein 1-like 1 OS=Xenopus tropicalis GN=nap1l1 PE=2 SV=1 E(blastx)=9e-26
TRINITY_DN40013_c0_g1,RILP-like protein 1 OS=Danio rerio GN=rilpl1 PE=2 SV=2 E(blastx)=1e-08
TRINITY_DN29674_c0_g1,EF-hand domain-containing family member B OS=Mus musculus GN=Efhb PE=1 SV=2 E(blastx)=6e-14
TRINITY_DN9763_c0_g1,Conotoxin Cl14.12 OS=Conus californicus PE=3 SV=1 E(blastx)=2e-09
TRINITY_DN34892_c0_g1,Hemagglutinin/amebocyte aggregation factor OS=Limulus polyphemus PE=1 SV=1 E(blastx)=3e-13
TRINITY_DN277_c0_g1,Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1 E(blastx)=1e-07
TRINITY_DN29637_c0_g1,EF-hand calcium-binding domain-containing protein 1 OS=Bos taurus GN=EFCAB1 PE=2 SV=1 E(blastx)=6e-12
TRINITY_DN25709_c0_g1,Low-density lipoprotein receptor-related protein OS=Caenorhabditis elegans GN=lrp-1 PE=1 SV=1 E(blastx)=2e-06
TRINITY_DN36735_c0_g1,Myosin-4 OS=Caenorhabditis elegans GN=unc-54 PE=1 SV=2 E(blastx)=6e-28
TRINITY_DN26880_c0_g1,Protease inhibitor OS=Neobellieria bullata PE=1 SV=1 E(blastx)=2e-13
TRINITY_DN28056_c0_g1,G protein-coupled receptor kinase 4 OS=Rattus norvegicus GN=Grk4 PE=1 SV=1 E(blastx)=1e-46
TRINITY_DN5515_c0_g1,Coiled-coil domain-containing protein 105 OS=Bos taurus GN=CCDC105 PE=2 SV=1 E(blastx)=2e-11
TRINITY_DN11960_c0_g1,Actin (Fragment) OS=Dictyocaulus viviparus PE=2 SV=1 E(blastx)=3e-14
TRINITY_DN38101_c0_g1,Ankyrin repeat and MYND domain-containing protein 2 OS=Mus musculus GN=Ankmy2 PE=1 SV=1 E(blastx)=5e-26
TRINITY_DN11967_c0_g1,Zinc finger protein 622 OS=Gallus gallus GN=ZNF622 PE=2 SV=1 E(blastx)=2e-23
TRINITY_DN11955_c0_g1,Cytochrome c oxidase subunit 1 OS=Lumbricus terrestris GN=COI PE=3 SV=1 E(blastx)=3e-15
TRINITY_DN37536_c0_g1,Kinesin-like protein KIF3A OS=Macaca fascicularis GN=KIF3A PE=2 SV=1 E(blastx)=4e-32
TRINITY_DN541_c0_g1,Inorganic pyrophosphatase OS=Komagataella pastoris GN=IPP1 PE=3 SV=3 E(blastx)=3e-08
TRINITY_DN12798_c0_g1,26S proteasome non-ATPase regulatory subunit 3 OS=Mus musculus GN=Psmd3 PE=1 SV=3 E(blastx)=2e-17
TRINITY_DN6424_c0_g1,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Homo sapiens GN=HIBADH PE=1 SV=2 E(blastx)=6e-18"
TRINITY_DN25624_c0_g1,"Cytochrome c oxidase subunit 5A, mitochondrial OS=Drosophila melanogaster GN=COX5A PE=2 SV=2 E(blastx)=4e-27"
TRINITY_DN28503_c0_g1,Protein FAM221A OS=Homo sapiens GN=FAM221A PE=2 SV=1 E(blastx)=4e-19
TRINITY_DN35348_c0_g1,ADP-ribosylation factor-like protein 13B OS=Danio rerio GN=arl13b PE=1 SV=1 E(blastx)=1e-19
TRINITY_DN36649_c0_g1,60S ribosomal protein L9 OS=Spodoptera frugiperda GN=RpL9 PE=2 SV=1 E(blastx)=2e-34
TRINITY_DN34287_c0_g1,Lysine-specific demethylase 5A OS=Homo sapiens GN=KDM5A PE=1 SV=3 E(blastx)=7e-36
TRINITY_DN25052_c0_g1,Tubulin monoglycylase TTLL3 OS=Danio rerio GN=ttll3 PE=2 SV=1 E(blastx)=2e-09
TRINITY_DN32102_c0_g1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Cricetulus griseus GN=GBF1 PE=1 SV=1 E(blastx)=2e-45
TRINITY_DN4623_c0_g1,CD109 antigen OS=Homo sapiens GN=CD109 PE=1 SV=2 E(blastx)=2e-18
TRINITY_DN30680_c0_g1,Nicotinamide phosphoribosyltransferase OS=Homo sapiens GN=NAMPT PE=1 SV=1 E(blastx)=2e-12
TRINITY_DN38962_c0_g1,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 OS=Homo sapiens GN=CPAMD8 PE=1 SV=2 E(blastx)=5e-28
TRINITY_DN38452_c0_g1,DNA topoisomerase 2-alpha OS=Mus musculus GN=Top2a PE=1 SV=2 E(blastx)=6e-45
TRINITY_DN19559_c0_g1,28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1 E(blastx)=3e-21
TRINITY_DN3116_c0_g1,Headcase protein OS=Drosophila melanogaster GN=hdc PE=1 SV=2 E(blastx)=6e-07
TRINITY_DN7789_c0_g1,Protein phosphatase inhibitor 2 OS=Oryctolagus cuniculus GN=PPP1R2 PE=1 SV=3 E(blastx)=3e-14
TRINITY_DN37806_c0_g1,Ribosome biogenesis protein BMS1 homolog OS=Homo sapiens GN=BMS1 PE=1 SV=1 E(blastx)=3e-11
TRINITY_DN23419_c0_g1,40S ribosomal protein S2 (Fragment) OS=Cricetulus griseus GN=RPS2 PE=2 SV=1 E(blastx)=7e-36
TRINITY_DN37238_c0_g1,60S ribosomal protein L17 OS=Argas monolakensis GN=RpL17 PE=2 SV=1 E(blastx)=8e-31
TRINITY_DN35186_c0_g1,U6 snRNA-associated Sm-like protein LSm5 OS=Pongo abelii GN=LSM5 PE=3 SV=3 E(blastx)=6e-33
TRINITY_DN4576_c0_g1,Synaptobrevin-like protein OS=Schistosoma mansoni PE=2 SV=1 E(blastx)=8e-05
TRINITY_DN26818_c0_g1,"39S ribosomal protein L12, mitochondrial OS=Homo sapiens GN=MRPL12 PE=1 SV=2 E(blastx)=1e-07"
TRINITY_DN22464_c0_g1,T-complex protein 1 subunit gamma OS=Caenorhabditis elegans GN=cct-3 PE=3 SV=3 E(blastx)=1e-24
TRINITY_DN6834_c0_g1,Kinesin light chain OS=Doryteuthis pealeii PE=2 SV=1 E(blastx)=4e-15
TRINITY_DN16915_c0_g1,Calmodulin OS=Metridium senile PE=1 SV=3 E(blastx)=5e-16
TRINITY_DN7649_c0_g1,"Probable aconitate hydratase, mitochondrial OS=Caenorhabditis elegans GN=aco-2 PE=3 SV=2 E(blastx)=5e-54"
TRINITY_DN24132_c0_g1,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1 E(blastx)=1e-47
TRINITY_DN20740_c0_g1,Cell division cycle protein 48 homolog AF_1297 OS=Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126) GN=AF_1297 PE=3 SV=1 E(blastx)=1e-08
TRINITY_DN10943_c0_g1,"30S ribosomal protein S3, chloroplastic OS=Emiliania huxleyi GN=rps3 PE=3 SV=1 E(blastx)=2e-42"
TRINITY_DN18122_c0_g1,Peroxiredoxin-2 OS=Mus musculus GN=Prdx2 PE=1 SV=3 E(blastx)=2e-30
TRINITY_DN9448_c0_g1,Probable ATP-dependent RNA helicase DDX5 OS=Macaca fascicularis GN=DDX5 PE=2 SV=1 E(blastx)=2e-26
TRINITY_DN6970_c0_g1,LINE-1 reverse transcriptase homolog OS=Nycticebus coucang PE=3 SV=1 E(blastx)=1e-09
TRINITY_DN2442_c0_g1,Calreticulin OS=Bos taurus GN=CALR PE=1 SV=2 E(blastx)=2e-47
TRINITY_DN772_c0_g1,Glutathione peroxidase OS=Schistosoma mansoni GN=GPX1 PE=1 SV=2 E(blastx)=1e-28
TRINITY_DN7002_c0_g1,Protein YIPF6 OS=Xenopus tropicalis GN=yipf6 PE=2 SV=1 E(blastx)=7e-16
TRINITY_DN11251_c0_g1,PiggyBac transposable element-derived protein 4 OS=Homo sapiens GN=PGBD4 PE=2 SV=3 E(blastx)=2e-11
TRINITY_DN1029_c0_g1,Echinoidin OS=Heliocidaris crassispina PE=1 SV=1 E(blastx)=4e-08
TRINITY_DN33630_c0_g1,Optineurin OS=Danio rerio GN=optn PE=2 SV=2 E(blastx)=7e-06
TRINITY_DN4380_c0_g1,Collagen alpha-1(II) chain (Fragment) OS=Gallus gallus GN=COL2A1 PE=2 SV=1 E(blastx)=2e-19
TRINITY_DN36345_c0_g1,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Oryctolagus cuniculus GN=PPP2R5D PE=2 SV=1 E(blastx)=9e-32
TRINITY_DN30609_c0_g1,Band 4.1-like protein 1 OS=Rattus norvegicus GN=Epb41l1 PE=1 SV=1 E(blastx)=1e-08
TRINITY_DN36641_c0_g1,Trifunctional purine biosynthetic protein adenosine-3 OS=Gallus gallus GN=GART PE=2 SV=1 E(blastx)=4e-23
TRINITY_DN30647_c0_g1,40S ribosomal protein S16 OS=Ictalurus punctatus GN=rps16 PE=2 SV=1 E(blastx)=2e-20
TRINITY_DN8053_c0_g1,Sentrin-specific protease 6 OS=Mus musculus GN=Senp6 PE=1 SV=3 E(blastx)=6e-34
TRINITY_DN6540_c0_g1,NADH-ubiquinone oxidoreductase chain 5 OS=Lumbricus terrestris GN=ND5 PE=3 SV=1 E(blastx)=8e-23
TRINITY_DN33889_c0_g1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Bos taurus GN=NDUFA5 PE=1 SV=3 E(blastx)=1e-21
TRINITY_DN11203_c0_g1,Centromere protein S OS=Gallus gallus GN=APITD1 PE=1 SV=2 E(blastx)=3e-23
TRINITY_DN35530_c0_g1,LINE-1 retrotransposable element ORF2 protein OS=Mus musculus GN=Pol PE=1 SV=2 E(blastx)=1e-05
TRINITY_DN7008_c0_g1,Peptidyl-prolyl cis-trans isomerase OS=Drosophila melanogaster GN=Cyp1 PE=1 SV=2 E(blastx)=3e-39
TRINITY_DN20704_c1_g1,Ganglioside GM2 activator OS=Mus musculus GN=Gm2a PE=1 SV=2 E(blastx)=1e-06
TRINITY_DN38858_c0_g1,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Acadsb PE=1 SV=1 E(blastx)=2e-37"
TRINITY_DN33000_c0_g1,Kinesin-like protein KIF17 OS=Mus musculus GN=Kif17 PE=1 SV=1 E(blastx)=3e-09
TRINITY_DN27546_c0_g1,Gamma-taxilin OS=Homo sapiens GN=TXLNG PE=1 SV=2 E(blastx)=4e-22
TRINITY_DN3737_c0_g1,Twitchin OS=Caenorhabditis elegans GN=unc-22 PE=1 SV=3 E(blastx)=7e-17
TRINITY_DN7088_c0_g1,"Actin, cytoskeletal 3 (Fragment) OS=Lytechinus pictus PE=3 SV=1 E(blastx)=4e-39"
TRINITY_DN39985_c0_g1,Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Homo sapiens GN=SGTA PE=1 SV=1 E(blastx)=2e-10
TRINITY_DN4988_c0_g1,Chitinase-3-like protein 2 OS=Homo sapiens GN=CHI3L2 PE=1 SV=1 E(blastx)=1e-19
TRINITY_DN1171_c0_g1,Methylsterol monooxygenase 1 OS=Gallus gallus GN=MSMO1 PE=2 SV=1 E(blastx)=5e-26
TRINITY_DN6560_c0_g1,CUGBP Elav-like family member 2 OS=Gallus gallus GN=CELF2 PE=1 SV=2 E(blastx)=6e-73
TRINITY_DN4896_c0_g1,COX assembly mitochondrial protein 2 homolog OS=Xenopus tropicalis GN=cmc2 PE=3 SV=1 E(blastx)=1e-08
TRINITY_DN5951_c0_g1,Elongation factor 1-gamma OS=Drosophila melanogaster GN=Ef1gamma PE=2 SV=2 E(blastx)=8e-36
TRINITY_DN20238_c0_g1,Probable transaldolase OS=Drosophila melanogaster GN=Taldo PE=2 SV=2 E(blastx)=3e-28
TRINITY_DN3323_c0_g1,Endoplasmin OS=Sus scrofa GN=HSP90B1 PE=2 SV=3 E(blastx)=2e-22
TRINITY_DN33833_c0_g1,Zinc finger MYND domain-containing protein 10 OS=Danio rerio GN=zmynd10 PE=2 SV=1 E(blastx)=6e-20
TRINITY_DN32575_c0_g1,Cytochrome c oxidase assembly factor 7 homolog OS=Drosophila melanogaster GN=CG13865 PE=2 SV=1 E(blastx)=2e-09
TRINITY_DN39747_c0_g1,Growth arrest-specific protein 8 OS=Mus musculus GN=Gas8 PE=1 SV=2 E(blastx)=1e-25
TRINITY_DN36532_c0_g1,Probable tRNA N6-adenosine threonylcarbamoyltransferase OS=Nematostella vectensis GN=osgep PE=3 SV=1 E(blastx)=4e-37
TRINITY_DN1399_c0_g1,Peptidyl-prolyl cis-trans isomerase G OS=Homo sapiens GN=PPIG PE=1 SV=2 E(blastx)=3e-20
TRINITY_DN31129_c0_g1,Golgi resident protein GCP60 OS=Homo sapiens GN=ACBD3 PE=1 SV=4 E(blastx)=3e-09
TRINITY_DN6202_c0_g1,Alpha-soluble NSF attachment protein OS=Rattus norvegicus GN=Napa PE=1 SV=2 E(blastx)=6e-44
TRINITY_DN38650_c0_g1,Histone H2B.2 OS=Tetrahymena thermophila (strain SB210) GN=HTB2 PE=1 SV=2 E(blastx)=1e-50
TRINITY_DN1650_c0_g1,Transcription elongation regulator 1 OS=Homo sapiens GN=TCERG1 PE=1 SV=2 E(blastx)=5e-05
TRINITY_DN4376_c0_g1,Conserved oligomeric Golgi complex subunit 4 OS=Bos taurus GN=COG4 PE=2 SV=1 E(blastx)=2e-18
TRINITY_DN28887_c0_g1,Coiled-coil domain-containing protein 22 homolog OS=Nematostella vectensis GN=v1g180167 PE=3 SV=1 E(blastx)=5e-54
TRINITY_DN39047_c0_g1,ADP-ribosylation factor 1-like 2 OS=Caenorhabditis briggsae GN=arf-1.2 PE=3 SV=3 E(blastx)=4e-40
TRINITY_DN2852_c0_g1,Oral-facial-digital syndrome 1 protein homolog OS=Danio rerio GN=ofd1 PE=2 SV=1 E(blastx)=3e-10
TRINITY_DN39133_c0_g1,Vacuolar protein sorting-associated protein 37A OS=Mus musculus GN=Vps37a PE=1 SV=1 E(blastx)=2e-06
TRINITY_DN39032_c0_g1,"Stomatin-like protein 2, mitochondrial OS=Bos taurus GN=STOML2 PE=2 SV=1 E(blastx)=3e-41"
TRINITY_DN16085_c0_g1,Inositol monophosphatase 3 OS=Xenopus laevis GN=impad1 PE=2 SV=1 E(blastx)=5e-21
TRINITY_DN37438_c0_g1,Chromatin modification-related protein MEAF6 OS=Xenopus laevis GN=meaf6 PE=2 SV=1 E(blastx)=3e-35
TRINITY_DN37539_c0_g1,High mobility group-T protein OS=Oncorhynchus mykiss PE=2 SV=2 E(blastx)=1e-19
TRINITY_DN11210_c0_g1,Myosin regulatory light chain OS=Caenorhabditis elegans GN=mlc-4 PE=1 SV=1 E(blastx)=7e-10
TRINITY_DN34788_c0_g1,Protein DPCD OS=Xenopus laevis GN=dpcd PE=2 SV=1 E(blastx)=2e-16
TRINITY_DN38372_c0_g1,Gamma-glutamyltransferase light chain 2 OS=Homo sapiens GN=GGTLC2 PE=2 SV=4 E(blastx)=2e-11
TRINITY_DN10379_c0_g1,BUD13 homolog OS=Gallus gallus GN=BUD13 PE=2 SV=1 E(blastx)=1e-10
TRINITY_DN37510_c0_g1,Striatin-interacting protein 2 OS=Homo sapiens GN=STRIP2 PE=1 SV=2 E(blastx)=3e-21
TRINITY_DN16871_c0_g1,Heterogeneous nuclear ribonucleoprotein Q OS=Rattus norvegicus GN=Syncrip PE=2 SV=1 E(blastx)=7e-30
TRINITY_DN33303_c0_g1,Probable ATP-dependent RNA helicase DDX46 OS=Rattus norvegicus GN=Ddx46 PE=1 SV=1 E(blastx)=2e-05
TRINITY_DN12321_c0_g1,DnaJ homolog shv OS=Drosophila melanogaster GN=shv PE=1 SV=1 E(blastx)=5e-24
TRINITY_DN16815_c0_g1,N-acetylgalactosamine-6-sulfatase OS=Canis lupus familiaris GN=GALNS PE=2 SV=1 E(blastx)=2e-23
TRINITY_DN29807_c0_g1,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3 E(blastx)=4e-05"
TRINITY_DN37472_c0_g1,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1 E(blastx)=6e-06
TRINITY_DN39556_c0_g1,Deformed epidermal autoregulatory factor 1 OS=Drosophila melanogaster GN=Deaf1 PE=1 SV=1 E(blastx)=1e-16
TRINITY_DN25398_c0_g1,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=1e-05
